,고유번호,식당 이름,X,Y,도로명 주소,웹 주소
1278,140618987,포가레 신촌점,126.938250610225,37.5578811093862,서울 서대문구 명물길 26,http://place.map.kakao.com/140618987
1279,433618664,이국장 1호점,126.938658180281,37.5577191423507,서울 서대문구 연세로4길 36,http://place.map.kakao.com/433618664
1280,809811050,료테이스시,126.938594467118,37.558126359936,서울 서대문구 명물길 36-4,http://place.map.kakao.com/809811050
1281,10053773,화수목,126.938676126114,37.5579173710456,서울 서대문구 연세로4길 39,http://place.map.kakao.com/10053773
1282,407559625,행복은간장밥 신촌명물거리점,126.93865788484,37.5580795410517,서울 서대문구 명물길 36-6,http://place.map.kakao.com/407559625
1283,7876079,무룡산포차,126.93850442579,37.5575172390014,서울 서대문구 연세로4길 30,http://place.map.kakao.com/7876079
1284,227765103,오늘와인한잔 연대점,126.938497646312,37.5575037205122,서울 서대문구 연세로4길 30,http://place.map.kakao.com/227765103
1285,27543882,의정부부대찌개와 무쇠제육철판,126.93866694493,37.5580723377816,서울 서대문구 명물길 36-6,http://place.map.kakao.com/27543882
1286,9072792,버슴새,126.938671599033,37.5579173686942,서울 서대문구 연세로4길 39,http://place.map.kakao.com/9072792
1287,9275548,애니,126.93858132068,37.5575965667787,서울 서대문구 연세로4길 34,http://place.map.kakao.com/9275548
1288,1021313868,신촌한상주막 신촌점,126.938358294606,37.5576793422927,서울 서대문구 연세로4길 29,http://place.map.kakao.com/1021313868
1289,1451658248,이국장집 1호점,126.938667246236,37.5577047311058,서울 서대문구 연세로4길 36,http://place.map.kakao.com/1451658248
1290,23993651,더그릴썬1,126.938332002603,37.5579964795581,서울 서대문구 명물길 28,http://place.map.kakao.com/23993651
1291,22651131,제주돈1848,126.937638986023,37.5584430101137,서울 서대문구 명물길 27-7,http://place.map.kakao.com/22651131
1292,1574621309,비아메렝게,126.938114177885,37.5586306675246,서울 서대문구 명물길 27-18,http://place.map.kakao.com/1574621309
1293,1968719466,히어로보드게임카페 신촌점,126.937943686926,37.5581386336446,서울 서대문구 명물길 23,http://place.map.kakao.com/1968719466
1294,26984160,꾼노리 신촌점,126.93784744875,37.5581836328781,서울 서대문구 명물길 23,http://place.map.kakao.com/26984160
1295,22557714,헌치브라운,126.93798746022,37.5585801452042,서울 서대문구 명물길 29-8,http://place.map.kakao.com/22557714
1296,17358278,비엠바,126.938001050542,37.558569340377,서울 서대문구 명물길 29-8,http://place.map.kakao.com/17358278
1297,27301657,샤갈의눈내리는마을,126.93767546108,37.5581330863803,서울 서대문구 명물길 21,http://place.map.kakao.com/27301657
1298,1973562688,샵다비드,126.937752106882,37.5585115455822,서울 서대문구 명물길 27-9,http://place.map.kakao.com/1973562688
1299,211957380,천하일면 신촌점,126.93811411231,37.5587099552276,서울 서대문구 명물길 27-17,http://place.map.kakao.com/211957380
1300,9203642,아그니,126.937865554146,37.5581872463959,서울 서대문구 명물길 23,http://place.map.kakao.com/9203642
1301,8228508,남한강조약돌생고기,126.937670690824,37.558425006914,서울 서대문구 명물길 27-7,http://place.map.kakao.com/8228508
1302,26637286,브랜드집카페,126.938114177885,37.5586306675246,서울 서대문구 명물길 27-18,http://place.map.kakao.com/26637286
1303,8161539,호프야소주야,126.937892722713,37.5581800527136,서울 서대문구 명물길 23,http://place.map.kakao.com/8161539
1304,8210684,닌자뷔페주점,126.938069190012,37.5582882650574,서울 서대문구 명물길 27,http://place.map.kakao.com/8210684
1305,13490926,뮤엘 신촌점,126.937874614325,37.5581800431868,서울 서대문구 명물길 23,http://place.map.kakao.com/13490926
1306,23002461,노래하나맥주두잔,126.937756601022,37.5585511918211,서울 서대문구 명물길 27-9,http://place.map.kakao.com/23002461
1307,23066100,갯마을,126.937761140132,37.5585367782614,서울 서대문구 명물길 27-9,http://place.map.kakao.com/23066100
1308,594421253,미도인 신촌,126.938245651874,37.5584036851093,서울 서대문구 명물길 33,http://place.map.kakao.com/594421253
1309,15186433,도토리칼국수,126.93822843050111,37.55870010412506,서울 서대문구 명물길 27-19,http://place.map.kakao.com/15186433
1310,19612739,오렌지 신촌점,126.93840514500522,37.55851008607395,서울 서대문구 명물길 37,http://place.map.kakao.com/19612739
1311,16903411,맛있는순두부&김치찜 신촌점,126.93863959029,37.5583065828125,서울 서대문구 명물길 36,http://place.map.kakao.com/16903411
1312,27333576,놀숲 신촌점,126.938449294772,37.5584974951394,서울 서대문구 명물길 37,http://place.map.kakao.com/27333576
1313,16874892,봉추찜닭 신촌점,126.938453676636,37.5586740928415,서울 서대문구 명물길 27-23,http://place.map.kakao.com/16874892
